accy,accz,accx,gyroy,gyroz,gyrox
-0.0181818181818181,-0.0072727272727272,0.04,-0.0,-0.0,-0.0
-0.01,-0.0046153846153846,0.0438461538461538,-0.0,-0.0,-0.0
-0.0169230769230769,-0.0038461538461538,0.033076923076923,-0.0,-0.0,-0.0
-0.0107692307692307,-0.0061538461538461,0.0392307692307692,-0.0,-0.0,-0.0
-0.0175,-0.01,0.0475,-0.0,-0.0,-0.0
-0.012,-0.006,0.045,-0.0,-0.0,-0.0
-0.0169230769230769,-0.0053846153846153,0.0461538461538461,-0.0,-0.0,-0.0
-0.01,-0.01,0.042,-0.0,-0.0,-0.0
-0.0172727272727272,-0.01,0.0472727272727272,-0.0,-0.0,-0.0
-0.015,-0.005,0.045,-0.0,-0.0,-0.0
-0.01,-0.0,0.04,-0.0,-0.0,-0.0
-0.007,0.003,0.045,-0.0,-0.0,-0.0
-0.008,0.002,0.042,-0.0,-0.0,-0.0
-0.01,-0.0010526315789473,0.0336842105263157,-0.0,-0.0,-0.0
-0.0172727272727272,-0.0027272727272727,0.0472727272727272,-0.0,-0.0,-0.0
-0.0153846153846153,-0.0076923076923076,0.0376923076923076,-0.0,-0.0,-0.0
-0.004,-0.0,0.04,-0.0,-0.0,-0.0
